P_NAME,P_STATUS,P_MASS,P_RADIUS,P_YEAR,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ANGULAR_DISTANCE,P_DETECTION,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_METALLICITY,S_MASS,S_RADIUS,S_AGE,S_TEMPERATURE,S_LOG_G,S_ALT_NAMES,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TYPE,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
Kepler-1587 b,3.0,,1.33399,2016,9.4060467,,,Transit,Kepler-1587,292.67773,49.66391,14.09,907.0,0.07,1.08,1.22,5.01,5933.0,4.3,",",0.089451762,0.089451762,0.089451762,0.089451764,206.50373,965.77706,Terran,G,19.511849,19 30 42.6579,+49 39 50.0760,3.4706964,2.7164798,0.48010811,0,0,Hot,0,0.29243614,Cygnus,Cyg,Swan
Kepler-1588 b,3.0,,0.76228,2016,7.8493174,,,Transit,Kepler-1588,288.23271,48.002178,13858,658.0,-0.14,0.96,0.99,5.5,5817.0,4.43,",",0.076235028,0.076235028,0.076235028,0.076235029,173.00003,923.96698,Subterran,G,19.215515,19 12 55.8552,+48 00 07.8408,2.7073314,2.1399615,0.46885912,0,0,Hot,0,0.29454277,Cygnus,Cyg,Swan
Kepler-1589 b,3.0,,1.08737,2016,0.99166527,,,Transit,Kepler-1589,294.44179,40.571686,14978,1418.0,0.08,1.18,1.25,2.75,6166.0,4.32,",",0.020561128,0.020561128,0.020561128,0.020561129,4786619,2119.1033,Terran,F,19.629454,19 37 46.0338,+40 34 18.0696,3.8408306,4.1751433,0.44744634,0,0,Hot,0,0.29256922,Cygnus,Cyg,Swan
Kepler-159 b,3.0,,2.37652,2014,10.139623,82,217,Transit,Kepler-159,297.07017,40.868784,14902,377.79,,,0.66,,4625.0,4.65,",",82,82,82,0.082000002,26.558024,578.35414,Superterran,M,19.804679,19 48 16.8445,+40 52 07.6224,1.1409734,,,0,0,Hot,0,0.28364921,Cygnus,Cyg,Swan
Kepler-159 c,3.0,,3.40784,2014,43.595792,218,577,Transit,Kepler-159,297.07017,40.868784,14902,377.79,,,0.66,,4625.0,4.65,",",218,218,218,0.21800001,3.7575994,354.70926,Neptunian,M,19.804679,19 48 16.8445,+40 52 07.6224,1.1409734,,,0,0,Hot,0,0.43681152,Cygnus,Cyg,Swan
Kepler-1590 b,3.0,,1.14342,2016,7.617608,,,Transit,Kepler-1590,291.40781,48.017891,14.11,900.0,0.03,1.11,1.16,3.39,6053.0,4.35,",",0.078432543,0.078432543,0.078432543,0.078432545,263.08417,1026.0502,Terran,F,19.427188,19 25 37.8785,+48 01 04.4076,3.4348473,3.3690468,0.45397553,0,0,Hot,0,0.2966552,Cygnus,Cyg,Swan
Kepler-1591 b,3.0,,1.26673,2016,8.1850495,,,Transit,Kepler-1591,296.51666,44.608608,14686,1090.0,0.01,1.1,1.16,3.24,6082.0,4.35,",",0.082032886,0.082032886,0.082032886,0.082032888,245.14007,1008.0881,Terran,F,19.767778,19 46 04.0019,+44 36 30.9888,3.4678389,3.530485,0.44920705,0,0,Hot,0,0.29372041,Cygnus,Cyg,Swan
Kepler-1592 b,3.0,,1.53577,2016,3.0571007,,,Transit,Kepler-1592,293.85065,38.397749,14803,1349.0,0.04,1.18,1.28,2.69,6213.0,4.29,",",0.043552195,0.043552195,0.043552195,0.043552196,1153.1715,1484.6305,Superterran,F,19.590044,19 35 24.1587,+38 23 51.8964,3.9931973,4.5262541,0.44580427,0,0,Hot,0,0.27848125,Cygnus,Cyg,Swan
Kepler-1593 b,3.0,,3.17243,2016,174.50984,,,Transit,Kepler-1593,300.48818,44.46067,15873,755.0,0.02,0.81,0.77,3.63,4995.0,4.59,",",0.56957536,0.56957536,0.56957536,0.56957538,1.019318,255.9896,Neptunian,K,20.032546,20 01 57.1670,+44 27 38.4120,1.5526365,0.49260815,0.41340045,1,1,Warm,0,0.63177351,Cygnus,Cyg,Swan
Kepler-1594 b,3.0,,1.06495,2016,2.7160381,,,Transit,Kepler-1594,293.62309,47.961914,14801,1100.0,0.03,1.06,1.08,3.89,5946.0,4.39,",",0.038836082,0.038836082,0.038836082,0.038836083,866.09386,1382.0894,Terran,G,19.574874,19 34 29.5453,+47 57 42.8904,3.0858987,2.7605782,0.45742342,0,0,Hot,0,0.29417371,Cygnus,Cyg,Swan
Kepler-1595 b,3.0,,1.2331,2016,4.5638047,,,Transit,Kepler-1595,285.72272,43.00948,15448,841.0,-0.02,0.84,0.8,4.68,5203.0,4.56,",",0.050794967,0.050794967,0.050794967,0.050794968,162.87055,910.13444,Terran,K,19.048182,19 02 53.4566,+43 00 34.1280,1.7502728,0.71278554,0.43654154,0,0,Hot,0,0.2976342,Lyra,Lyr,Lyre
Kepler-1596 b,3.0,,1.9057,2016,66.373379,,,Transit,Kepler-1596,285.55751,49.330074,15.37,1166.0,-0.11,0.95,0.92,3.89,5706.0,4.49,",",0.31531652,0.31531652,0.31531652,0.31531653,8.085333,429.60506,Superterran,G,19.037168,19 02 13.8062,+49 19 48.2664,2.420803,1.7622641,0.44101934,0,0,Hot,0,0.40613772,Draco,Dra,Dragon
Kepler-1597 b,3.0,,1.06495,2016,2.9465418,,,Transit,Kepler-1597,288.16397,42.481083,14144,1255.0,0.02,1.25,1.39,2.4,6377.0,4.24,",",0.043319951,0.043319951,0.043319951,0.043319952,1525.4852,1592.1974,Terran,F,19.210933,19 12 39.3571,+42 28 51.8988,4.5683117,6.1156827,0.44589238,0,0,Hot,0,0.29346953,Lyra,Lyr,Lyre
Kepler-1598 b,3.0,,0.95285,2016,4.3419512,,,Transit,Kepler-1598,288.4691,46.78368,13874,734.0,0.04,1.07,1.09,3.8,5940.0,4.39,",",0.053263223,0.053263223,0.053263223,0.053263224,467.12439,1184.4127,Terran,G,19.231274,19 13 52.5881,+46 47 01.2480,3.1081895,2.7408335,0.45707068,0,0,Hot,0,0.2957073,Cygnus,Cyg,Swan
Kepler-1599 b,3.0,,1.62545,2016,122.36355,,,Transit,Kepler-1599,286.22089,41.151251,14945,1004.0,0.02,0.99,0.99,4.27,5767.0,4.45,",",0.48064308,0.48064308,0.48064308,0.4806431,4.2044912,364.81549,Superterran,G,19.081394,19 04 53.0169,+41 09 04.5036,2.6609897,1.9840596,0.4541241,0,0,Hot,0,0.53317115,Lyra,Lyr,Lyre
Kepler-16 b,3.0,105.83672,8.45234,2011,228776,0.7048,9.37,Transit,Kepler-16,289.07571,51.757439,11762,75.25,-0.3,0.69,0.65,,4450.0,4.65,",",0.70481678,0.69993688,0.70966312,0.7048042,0.29883671,188.3647,Jovian,K,19.271715,19 16 18.1740,+51 45 26.7804,1.040259,0.18308608,0.40766256,1,1,Warm,0,0.32434463,Cygnus,Cyg,Swan
Kepler-160 b,3.0,,1.53577,2014,4.309427,0.05,0.0519,Transit,Kepler-160,287.77358,42.869286,14619,962.92,,,0.88,,5857.0,4.51,",",0.05,0.05,0.05,0.050000001,326.59902,1083.0503,Superterran,G,19.184906,19 11 05.6630,+42 52 09.4296,2.4397269,,,0,0,Hot,0,0.28150556,Lyra,Lyr,Lyre
Kepler-160 c,3.0,,3.60962,2014,13.699087,109,113,Transit,Kepler-160,287.77358,42.869286,14619,962.92,,,0.88,,5857.0,4.51,",",109,109,109,109,68.722965,733.53423,Neptunian,G,19.184906,19 11 05.6630,+42 52 09.4296,2.4397269,,,0,0,Hot,0,0.20503141,Lyra,Lyr,Lyre
Kepler-1600 b,3.0,,3.12759,2016,386.37055,,,Transit,Kepler-1600,291.39938,38.787752,15825,992.0,0.07,0.86,0.82,4.68,5214.0,4.55,",",0.98706348,0.98706348,0.98706348,0.9870635,0.45699378,209.47031,Neptunian,K,19.426627,19 25 35.8558,+38 47 15.9072,1.8016233,0.73210364,0.43997901,1,1,Warm,0,0.5502267,Lyra,Lyr,Lyre
Kepler-1601 b,3.0,,0.81833,2016,2.2092195,,,Transit,Kepler-1601,285.51294,38.079748,13764,660.0,0.05,1.04,1.07,4.27,5869.0,4.4,",",0.033626364,0.033626364,0.033626364,0.033626365,1076.3483,1459.2615,Terran,G,19.034197,19 02 03.1099,+38 04 47.0928,2.9786542,2.4032086,0.46164407,0,0,Hot,0,0.29067896,Lyra,Lyr,Lyre
Kepler-1602 b,3.0,,1.3452,2016,11.179316,,,Transit,Kepler-1602,293.58086,40.427478,13352,815.0,0.02,1.22,1.36,2.51,6296.0,4.25,",",0.10452969,0.10452969,0.10452969,0.10452969,238.31206,1000.9939,Terran,F,19.572058,19 34 19.4096,+40 25 38.9208,4.3568885,5.2782829,0.4456122,0,0,Hot,0,0.29112011,Cygnus,Cyg,Swan
Kepler-1603 b,3.0,,1.28915,2016,2.2716393,,,Transit,Kepler-1603,295.32984,42.534966,15332,1751.0,0.07,1.21,1.31,2.82,6241.0,4.28,",",0.036029999,0.036029999,0.036029999,0.03603,1796.8816,1658.7265,Terran,F,19.688657,19 41 19.1660,+42 32 05.8776,4.1237066,4.7892189,0.45310078,0,0,Hot,0,0.28805499,Cygnus,Cyg,Swan
Kepler-1604 b,3.0,,1.41246,2016,0.68368426,,,Transit,Kepler-1604,285.41063,44.412212,14915,562.0,0.02,0.81,0.76,4.17,4976.0,4.59,",",0.014154947,0.014154947,0.014154947,0.014154948,1583.5099,1607.1267,Terran,K,19.027377,19 01 38.5555,+44 24 43.9632,1.5208362,0.47678803,0.42306703,0,0,Hot,0,0.2835127,Lyra,Lyr,Lyre
Kepler-1605 b,3.0,,1.07616,2016,85.75655,,,Transit,Kepler-1605,287.13489,47.488621,12429,224.0,-0.01,0.86,0.82,4.68,5280.0,4.55,",",0.36184335,0.36184335,0.36184335,0.36184336,3.5761099,350.34637,Terran,K,19.142327,19 08 32.3784,+47 29 19.0356,1.8475227,0.82000472,0.43997901,0,0,Hot,0,0.60109174,Lyra,Lyr,Lyre
Kepler-1606 b,3.0,,2.07385,2016,196.43522,,,Transit,Kepler-1606,286.37826,43.07325,15139,880.0,0.01,0.9,0.86,4.27,5422.0,4.53,",",0.63836637,0.63836637,0.63836637,0.63836638,1.4053471,277.39001,Superterran,G,19.091885,19 05 30.7869,+43 04 23.7000,2.0432691,1.0625429,0.43992332,1,0,Warm,2,0.72573348,Lyra,Lyr,Lyre
Kepler-1607 b,3.0,,0.91922,2016,13.647368,,,Transit,Kepler-1607,296.05987,42.656051,13897,735.0,0.05,1.14,1.21,3.16,6116.0,4.33,",",0.11672855,0.11672855,0.11672855,0.11672856,134.70232,867.93795,Terran,F,19.737326,19 44 14.3723,+42 39 21.7836,3.6578713,3.7876784,0.45269702,0,0,Hot,0,0.30267925,Cygnus,Cyg,Swan
Kepler-1608 b,3.0,,1.72634,2016,16.473569,,,Transit,Kepler-1608,295.56356,39.417606,15889,832.0,-0.24,0.75,0.72,5.13,4992.0,4.61,",",0.11509464,0.11509464,0.11509464,0.11509465,21.774176,550.33906,Superterran,K,19.704238,19 42 15.2576,+39 25 03.3816,1.4500726,0.47766342,0.42683971,0,0,Hot,0,0.32804318,Cygnus,Cyg,Swan
Kepler-1609 b,3.0,,2.21958,2016,114.34219,,,Transit,Kepler-1609,290.14655,39.665821,15015,1483.0,0.1,1.18,1.27,3.02,6132.0,4.29,",",0.48708855,0.48708855,0.48708855,0.48708856,8.6116988,436.43253,Superterran,F,19.343105,19 20 35.1768,+39 39 56.9556,3.8593673,3.9382509,0.45448546,0,0,Hot,0,0.37926342,Lyra,Lyr,Lyre
Kepler-161 b,3.0,,2.11869,2014,4.921355,54,123,Transit,Kepler-161,290.51649,43.083824,14196,440.15,,,0.81,,5078.0,4.55,",",54,54,54,0.054000001,134.04232,866.87284,Superterran,K,19.367767,19 22 03.9615,+43 05 01.7664,1.6880236,,,0,0,Hot,0,0.25862685,Lyra,Lyr,Lyre
Kepler-161 c,3.0,,2.05143,2014,7.06424,68,154,Transit,Kepler-161,290.51649,43.083824,14196,440.15,,,0.81,,5078.0,4.55,",",68,68,68,0.068000002,84.530151,772.49881,Superterran,K,19.367767,19 22 03.9615,+43 05 01.7664,1.6880236,,,0,0,Hot,0,0.2677064,Lyra,Lyr,Lyre
Kepler-1610 b,3.0,,1.61424,2016,8.7018157,,,Transit,Kepler-1610,295.90501,45.405434,15.85,1063.0,0.1,0.91,0.87,4.68,5383.0,4.52,",",0.08021642,0.08021642,0.08021642,0.080216422,88.490799,781.39286,Superterran,G,19.727002,19 43 37.2061,+45 24 19.5624,2.0373991,0.99734975,0.44834563,0,0,Hot,0,0.28901197,Cygnus,Cyg,Swan
Kepler-1611 b,3.0,,0.80712,2016,5.1762429,,,Transit,Kepler-1611,296.51205,49.727764,14435,686.0,0.01,0.94,0.93,5.01,5605.0,4.49,",",0.057353766,0.057353766,0.057353766,0.057353767,232.50545,994.8399,Terran,G,19.767471,19 46 02.8955,+49 43 39.9504,2.3612517,1.4763222,0.45839557,0,0,Hot,0,0.2948989,Cygnus,Cyg,Swan
Kepler-1612 b,3.0,,1.03132,2016,3.917951,,,Transit,Kepler-1612,291.25028,45.655075,14.75,837.0,0.03,0.96,0.94,4.57,5643.0,4.48,",",0.047970322,0.047970322,0.047970322,0.047970323,348.85046,1101.0441,Terran,G,19.416686,19 25 00.0706,+45 39 18.2700,2.4191124,1.5870165,0.45460543,0,0,Hot,0,0.29685104,Cygnus,Cyg,Swan
Kepler-1613 b,3.0,,2.08506,2016,1.5184299,,,Transit,Kepler-1613,289.87504,43.420963,14118,855.0,0.01,1.08,1.12,3.55,6005.0,4.37,",",0.026520434,0.026520434,0.026520434,0.026520435,2077.8562,1720.0805,Superterran,F,19.325004,19 19 30.0135,+43 25 15.4668,3.264015,3.0741636,0.45331924,0,0,Hot,0,0.25107418,Lyra,Lyr,Lyre
Kepler-1614 b,3.0,,1.49093,2016,3.9466141,,,Transit,Kepler-1614,284.87133,49.775913,15923,982.0,-0.17,0.79,0.76,5.5,5121.0,4.58,",",0.0451719,0.0451719,0.0451719,0.045171901,174.42078,925.85817,Terran,K,18.991423,18 59 29.1237,+49 46 33.2868,1.6107615,0.60658706,0.43936722,0,0,Hot,0,0.28719886,Draco,Dra,Dragon
Kepler-1615 b,3.0,,2.06264,2016,47.312619,,,Transit,Kepler-1615,286.35923,42.227478,14553,940.0,0.06,1.04,1.05,3.89,5865.0,4.42,",",0.25932159,0.25932159,0.25932159,0.2593216,17.380487,520.18808,Superterran,G,19.090616,19 05 26.2178,+42 13 38.9208,2.9189955,2.3867503,0.45452825,0,0,Hot,0,0.32375857,Lyra,Lyr,Lyre
Kepler-1616 b,3.0,,1.02011,2016,6.7628438,,,Transit,Kepler-1616,286.54364,45.304874,13499,862.0,0.02,1.21,1.34,2.75,6266.0,4.26,",",0.074563151,0.074563151,0.074563151,0.074563152,446.07851,1170.8405,Terran,F,19.10291,19 06 10.4765,+45 18 17.5464,4.2520041,4.9993971,0.45120656,0,0,Hot,0,0.29602127,Lyra,Lyr,Lyre
Kepler-1617 b,3.0,,1.19947,2016,27.478557,,,Transit,Kepler-1617,287.93722,46.418491,13.63,813.0,0.01,1.15,1.22,3.02,6167.0,4.32,",",0.18666868,0.18666868,0.18666868,0.18666869,55.35555,694.92063,Terran,F,19.195816,19 11 44.9362,+46 25 06.5676,3.7498666,4.1465743,0.45060078,0,0,Hot,0,0.31497949,Lyra,Lyr,Lyre
Kepler-1618 b,3.0,,1.25552,2016,6.1082602,,,Transit,Kepler-1618,295.17539,45.930908,13606,1238.0,0.04,1.41,1.65,1.78,6620.0,4.15,",",0.073315243,0.073315243,0.073315243,0.073315245,871.5653,1384.2671,Terran,F,19.67836,19 40 42.0975,+45 55 51.2688,5.8439705,9.6646911,0.44160557,0,0,Hot,0,0.28998068,Cygnus,Cyg,Swan
Kepler-1619 b,3.0,,0.76228,2016,23.622591,,,Transit,Kepler-1619,285.70347,44.422001,13341,520.0,-0.07,1.0,1.0,4.27,5852.0,4.44,",",0.16108728,0.16108728,0.16108728,0.16108729,40.493321,642.67404,Subterran,G,19.046899,19 02 48.8369,+44 25 19.2036,2.7676854,2.3037199,0.45564802,0,0,Hot,0,0.32025062,Lyra,Lyr,Lyre
Kepler-162 b,3.0,,1.25552,2014,6.919798,69,0.0787,Transit,Kepler-162,297.27891,43.724018,14248,877.01,,,0.96,,5816.0,4.44,",",69,69,69,0.069000002,198.4406,956.20837,Terran,G,19.818595,19 49 06.9421,+43 43 26.4648,2.6243885,,,0,0,Hot,0,0.29541563,Cygnus,Cyg,Swan
Kepler-162 c,3.0,,3.0267,2014,19.446355,137,156,Transit,Kepler-162,297.27891,43.724018,14248,877.01,,,0.96,,5816.0,4.44,",",137,137,137,137,50.337028,678.6046,Neptunian,G,19.818595,19 49 06.9421,+43 43 26.4648,2.6243885,,,0,0,Hot,0,0.23288606,Cygnus,Cyg,Swan
Kepler-1620 b,3.0,,1.61424,2016,101.95183,,,Transit,Kepler-1620,297.27088,46.928417,13658,773.0,0.03,1.15,1.23,3.02,6157.0,4.31,",",0.44737551,0.44737551,0.44737551,0.44737552,9.7326492,449.98981,Superterran,F,19.818059,19 49 05.0140,+46 55 42.3012,3.7683524,4.0759446,0.45060078,0,0,Hot,0,0.40115253,Cygnus,Cyg,Swan
Kepler-1621 b,3.0,,2.16353,2016,92.263714,,,Transit,Kepler-1621,297.58852,43.841221,15015,1461.0,0.03,1.15,1.24,2.69,6158.0,4.31,",",0.41856491,0.41856491,0.41856491,0.41856492,11.307462,467.1821,Superterran,F,19.839236,19 50 21.2480,+43 50 28.3956,3.8002236,4.0829531,0.44199379,0,0,Hot,0,0.35321017,Cygnus,Cyg,Swan
Kepler-1622 b,3.0,,1.46851,2016,10.811874,,,Transit,Kepler-1622,297.32891,47.815472,13385,927.0,0.04,1.31,1.5,2.19,6436.0,4.2,",",0.10468086,0.10468086,0.10468086,0.10468087,315.6463,1073.8536,Terran,F,19.821928,19 49 18.9421,+47 48 55.6992,5.0214764,6.8746881,0.4460559,0,0,Hot,0,0.28465761,Cygnus,Cyg,Swan
Kepler-1623 b,3.0,,1.31157,2016,4.3612835,,,Transit,Kepler-1623,294.0827,39.556103,14951,986.0,0.04,1.0,1.0,4.27,5772.0,4.44,",",0.052229888,0.052229888,0.052229888,0.05222989,364.54886,1113.2273,Terran,G,19.605514,19 36 19.8505,+39 33 21.9708,2.6925312,2.0078915,0.45564802,0,0,Hot,0,0.29033281,Cygnus,Cyg,Swan
Kepler-1624 b,3.0,,5.70589,2016,3.2903045,,,Transit,Kepler-1624,292.57986,37.376411,15669,199.0,0.06,0.5,0.47,4.47,3636.0,4.78,",",0.034355026,0.034355026,0.034355026,0.034355027,29.308886,592.78163,Neptunian,M,19.505325,19 30 19.1701,+37 22 35.0796,0.5021734,0.040615232,0.36441767,0,0,Hot,0,0.173913,Cygnus,Cyg,Swan
Kepler-1625 b,3.0,,6.06461,2016,287.37895,,,Transit,Kepler-1625,295.42935,39.886547,15756,1213.0,0.01,0.96,0.94,4.37,5677.0,4.48,",",0.84056242,0.84056242,0.84056242,0.84056244,1.1638044,264.61527,Jovian,G,19.695291,19 41 43.0470,+39 53 11.5692,2.4483513,1.6824782,0.45122743,1,1,Warm,0,0.49025762,Cygnus,Cyg,Swan
Kepler-1626 b,3.0,,2.0178,2016,4.1396297,,,Transit,Kepler-1626,296.50045,40.72123,14275,1718.0,0.04,1.51,1.85,1.55,6826.0,4.08,",",0.057873027,0.057873027,0.057873027,0.057873028,1987.6726,1701105,Superterran,F,19.766697,19 46 00.1105,+40 43 16.4280,6.9664639,14.086645,0.44150853,0,0,Hot,0,0.25443389,Cygnus,Cyg,Swan
Kepler-1627 b,3.0,,3.68809,2016,7.2028365,,,Transit,Kepler-1627,284.05668,41.576733,13028,311.0,-0.1,0.87,0.84,4.68,5445.0,4.54,",",0.069665594,0.069665594,0.069665594,0.069665596,114.4991,833.38451,Neptunian,G,18.937113,18 56 13.6077,+41 34 36.2388,2.012719,1.0929478,0.44167779,0,0,Hot,0,0.1955001,Lyra,Lyr,Lyre
Kepler-1628 b,3.0,,6.43454,2016,76.378033,,,Transit,Kepler-1628,281.6337,43.411579,16595,352.0,0.17,0.55,0.52,5.13,3724.0,4.74,",",0.28858657,0.28858657,0.28858657,0.28858658,0.55947642,220.33848,Jovian,M,18.775581,18 46 32.0915,+43 24 41.6844,0.58281508,0.048769116,0.38491541,1,1,Warm,0,0.44586305,Lyra,Lyr,Lyre
Kepler-1629 b,3.0,,0.77349,2016,3.8759581,,,Transit,Kepler-1629,280.20662,43.774297,12.75,390.0,0.05,1.01,1.01,4.27,5776.0,4.44,",",0.048439843,0.048439843,0.048439843,0.048439844,433.5455,1162.5284,Subterran,G,18.680442,18 40 49.5925,+43 46 27.4692,2.723227,2.028454,0.45716181,0,0,Hot,0,0.29037739,Lyra,Lyr,Lyre
Kepler-163 b,3.0,,1.05374,2014,7.810937,78,111,Transit,Kepler-163,295.00282,46.987328,14415,703.69,,,0.92,,5776.0,4.52,",",78,78,78,0.078000002,138.7343,874.36118,Terran,G,19.666856,19 40 00.6803,+46 59 14.3808,2.4805632,,,0,0,Hot,0,0.30276841,Cygnus,Cyg,Swan
Kepler-163 c,3.0,,2.26442,2014,21.347262,152,216,Transit,Kepler-163,295.00282,46.987328,14415,703.69,,,0.92,,5776.0,4.52,",",152,152,152,152,36.533044,626.34898,Superterran,G,19.666856,19 40 00.6803,+46 59 14.3808,2.4805632,,,0,0,Hot,0,0.27671096,Cygnus,Cyg,Swan
Kepler-1630 b,3.0,,2.18595,2016,509.9974,,,Transit,Kepler-1630,297.50829,43.710953,14.15,278.0,-0.46,0.66,0.63,5.01,4736.0,4.66,",",1.0874339,1.0874339,1.0874339,1.087434,0.15129019,158.89038,Superterran,K,19.833887,19 50 01.9943,+43 42 39.4308,1.1420156,0.29485603,0.40742321,0,0,Cold,0,0.41604712,Cygnus,Cyg,Swan
Kepler-1631 b,3.0,,1.3452,2016,4.0951393,,,Transit,Kepler-1631,294.63257,43.807671,15524,1190.0,0.04,0.97,0.95,4.17,5679.0,4.47,",",0.049576887,0.049576887,0.049576887,0.049576888,342.18804,1095.7491,Terran,G,19.642172,19 38 31.8205,+43 48 27.6156,2.4761414,1.6941109,0.44926725,0,0,Hot,0,0.28935077,Cygnus,Cyg,Swan
Kepler-1632 b,3.0,,2.4662,2016,448.30356,,,Transit,Kepler-1632,294.49486,43.91362,13093,584.0,0.0,1.12,1.19,3.09,6137.0,4.33,",",1.1902286,1.1902286,1.1902286,1.1902287,1.270417,270.47771,Superterran,F,19.632992,19 37 58.7698,+43 54 49.0320,3.6221573,3.9037258,0.44835697,1,0,Warm,2,0.68926358,Cygnus,Cyg,Swan
Kepler-1633 b,3.0,,1.58061,2016,186.40427,,,Transit,Kepler-1633,288.5152,44.923225,13435,811.0,0.02,1.2,1.32,2.82,6256.0,4.27,",",0.6784855,0.6784855,0.6784855,0.67848552,5.1944829,384.61878,Superterran,F,19.234348,19 14 03.6521,+44 55 23.6100,4.1751829,4.9006657,0.45184912,0,0,Hot,0,0.49545662,Cygnus,Cyg,Swan
Kepler-1634 b,3.0,,3.19485,2016,374.87624,,,Transit,Kepler-1634,294.04341,45.139786,14508,654.0,0.02,0.92,0.89,4.47,5474.0,4.51,",",0.98938231,0.98938231,0.98938231,0.98938234,0.65096786,228.84151,Neptunian,G,19.602895,19 36 10.4218,+45 08 23.2296,2.1552998,1.1703786,0.44655199,1,1,Warm,0,0.60096445,Cygnus,Cyg,Swan
Kepler-1635 b,3.0,,3.64325,2016,469.63111,,,Transit,Kepler-1635,285.34899,45.556183,15696,1084.0,0.06,0.89,0.85,4.9,5347.0,4.53,",",1.1371319,1.1371319,1.1371319,1.1371319,0.40920937,203.7658,Neptunian,G,19.023267,19 01 23.7619,+45 33 22.2588,1.9640267,0.93061513,0.44845705,1,1,Warm,0,0.50008822,Lyra,Lyr,Lyre
Kepler-1636 b,3.0,,3.22848,2016,425.47785,,,Transit,Kepler-1636,294.05762,46.441031,15807,1567.0,0.03,1.01,1.02,3.98,5797.0,4.43,",",1.1105412,1.1105412,1.1105412,1.1105413,0.85355757,244.87989,Neptunian,G,19.603843,19 36 13.8337,+46 26 27.7116,2.7702239,2.1029728,0.45183424,1,1,Warm,0,0.62317864,Cygnus,Cyg,Swan
Kepler-1637 b,3.0,,0.88559,2016,6.1096032,,,Transit,Kepler-1637,282.23685,48.154297,13328,506.0,0.07,1.02,1.02,4.17,5789.0,4.43,",",0.065824103,0.065824103,0.065824103,0.065824105,241.62023,1004.4498,Terran,G,18.815791,18 48 56.8471,+48 09 15.4692,2.7625832,2.0810905,0.45685765,0,0,Hot,0,0.29741092,Draco,Dra,Dragon
Kepler-1638 b,3.0,,1.87207,2016,259.33683,,,Transit,Kepler-1638,295.48241,48.524445,14759,879.0,-0.01,0.97,0.95,4.37,5710.0,4.47,",",0.78766757,0.78766757,0.78766757,0.78766759,1.3854612,276.40348,Superterran,G,19.698828,19 41 55.7814,+48 31 28.0020,2.5032482,1.7867817,0.45278878,1,0,Warm,2,0.75678538,Cygnus,Cyg,Swan
Kepler-1639 b,3.0,,2.5783,2016,9.878482,,,Transit,Kepler-1639,283.06863,48.802086,14496,1168.0,-0.03,1.12,1.18,3.16,6150.0,4.34,",",0.093549695,0.093549695,0.093549695,0.093549697,203.92401,962.74662,Neptunian,F,18.871243,18 52 16.4752,+48 48 07.5096,3.6069518,3.9918925,0.45003403,0,0,Hot,0,0.23347431,Draco,Dra,Dragon
Kepler-164 b,3.0,,1.41246,2014,5.03503,58,0.0635,Transit,Kepler-164,287.78083,47.629913,14282,914.18,,,1.15,,5888.0,4.33,",",58,58,58,0.058000001,423.34998,1155.6326,Terran,G,19.18539,19 11 07.4023,+47 37 47.6868,3.2221187,,,0,0,Hot,0,0.28591773,Lyra,Lyr,Lyre
Kepler-164 c,3.0,,2.73524,2014,10.945723,97,106,Transit,Kepler-164,287.78083,47.629913,14282,914.18,,,1.15,,5888.0,4.33,",",97,97,97,0.097000002,151.36033,893.60981,Neptunian,G,19.18539,19 11 07.4023,+47 37 47.6868,3.2221187,,,0,0,Hot,0,0.2287238,Lyra,Lyr,Lyre
Kepler-164 d,3.0,,2.45499,2014,28.986769,187,205,Transit,Kepler-164,287.78083,47.629913,14282,914.18,,,1.15,,5888.0,4.33,",",187,187,187,187,40.726053,643.59549,Superterran,G,19.18539,19 11 07.4023,+47 37 47.6868,3.2221187,,,0,0,Hot,0,0.26386751,Lyra,Lyr,Lyre
Kepler-1640 b,3.0,,4.8203,2016,7.5844126,,,Transit,Kepler-1640,294.55789,40.850498,14624,1379.0,0.1,1.27,1.43,2.4,6324.0,4.23,",",0.081794751,0.081794751,0.081794751,0.081794753,438.00322,1165.5053,Neptunian,F,19.637194,19 38 13.8973,+40 51 01.7928,4.6219778,5.6130459,0.4482579,0,0,Hot,0,0.15686969,Cygnus,Cyg,Swan
Kepler-1641 b,3.0,,3.10517,2016,19.672266,,,Transit,Kepler-1641,296.35944,41.574532,14263,961.0,-0.02,1.12,1.19,3.02,6152.0,4.34,",",0.14807617,0.14807617,0.14807617,0.14807617,82.885306,768.71312,Neptunian,F,19.757297,19 45 26.2693,+41 34 28.3152,3.6398854,4.0056322,0.44664794,0,0,Hot,0,0.22030205,Cygnus,Cyg,Swan
